Johnson uses : 0.17754316329956055s
u: 135, v: 135, min path: 0
u: 135, v: 198, min path: -4
u: 135, v: 119, min path: 62
u: 135, v: 194, min path: 103
u: 135, v: 94, min path: inf
u: 135, v: 191, min path: 122
u: 135, v: 155, min path: 34
u: 135, v: 19, min path: 71
u: 135, v: 151, min path: -6
u: 135, v: 72, min path: 59
u: 135, v: 200, min path: 61
u: 135, v: 46, min path: 142
u: 135, v: 24, min path: 30
u: 135, v: 121, min path: 58
u: 135, v: 100, min path: 121
u: 135, v: 187, min path: 148
u: 135, v: 5, min path: 49
u: 135, v: 193, min path: -9
u: 135, v: 10, min path: inf
u: 135, v: 13, min path: 34
u: 135, v: 73, min path: 48
u: 135, v: 28, min path: 128
u: 135, v: 75, min path: 46
u: 135, v: 199, min path: 53
u: 135, v: 103, min path: 32
u: 135, v: 65, min path: 28
u: 135, v: 45, min path: 87
u: 135, v: 167, min path: 81
u: 135, v: 186, min path: 122
u: 135, v: 141, min path: 66
u: 135, v: 145, min path: 49
u: 135, v: 35, min path: 89
u: 135, v: 150, min path: 81
u: 135, v: 184, min path: 114
u: 135, v: 122, min path: 147
u: 135, v: 17, min path: -3
u: 135, v: 112, min path: 22
u: 135, v: 146, min path: 60
u: 135, v: 116, min path: 83
u: 135, v: 107, min path: 19
u: 135, v: 104, min path: 41
u: 135, v: 92, min path: 91
u: 135, v: 188, min path: 48
u: 135, v: 183, min path: 98
u: 135, v: 137, min path: 49
u: 135, v: 124, min path: 34
u: 135, v: 67, min path: 38
u: 135, v: 190, min path: 103
u: 135, v: 55, min path: 17
u: 135, v: 178, min path: 34
u: 135, v: 166, min path: 85
u: 135, v: 102, min path: 41
u: 135, v: 140, min path: 22
u: 135, v: 27, min path: 37
u: 135, v: 18, min path: 37
u: 135, v: 69, min path: 199
u: 135, v: 98, min path: 230
u: 135, v: 133, min path: inf
u: 135, v: 86, min path: 56
u: 135, v: 90, min path: 49
u: 135, v: 84, min path: inf
u: 135, v: 43, min path: 95
u: 135, v: 110, min path: 117
u: 135, v: 16, min path: 60
u: 135, v: 157, min path: 55
u: 135, v: 165, min path: 42
u: 135, v: 8, min path: 63
u: 135, v: 25, min path: 45
u: 135, v: 144, min path: 40
u: 135, v: 176, min path: 60
u: 135, v: 136, min path: 32
u: 135, v: 131, min path: 45
u: 135, v: 37, min path: inf
u: 135, v: 175, min path: 84
u: 135, v: 117, min path: 33
u: 135, v: 118, min path: 76
u: 135, v: 132, min path: 139
u: 135, v: 105, min path: 57
u: 135, v: 50, min path: 32
u: 135, v: 127, min path: 105
u: 135, v: 53, min path: 53
u: 135, v: 85, min path: 37
u: 135, v: 142, min path: 32
u: 135, v: 87, min path: 182
u: 135, v: 59, min path: 201
u: 135, v: 152, min path: 105
u: 135, v: 158, min path: 52
u: 135, v: 163, min path: 223
u: 135, v: 77, min path: 43
u: 135, v: 11, min path: 69
u: 135, v: 120, min path: -3
u: 135, v: 36, min path: 39
u: 135, v: 138, min path: 29
u: 135, v: 129, min path: 45
u: 135, v: 185, min path: 101
u: 135, v: 148, min path: 268
u: 135, v: 79, min path: 133
u: 135, v: 115, min path: 221
u: 135, v: 126, min path: 32
u: 135, v: 3, min path: 121
u: 135, v: 51, min path: -1
u: 135, v: 96, min path: 79
u: 135, v: 130, min path: 44
u: 135, v: 66, min path: 41
u: 135, v: 81, min path: 27
u: 135, v: 149, min path: 28
u: 135, v: 15, min path: 27
u: 135, v: 169, min path: -2
u: 135, v: 9, min path: 52
u: 135, v: 21, min path: 106
u: 135, v: 26, min path: 62
u: 135, v: 123, min path: 90
u: 135, v: 4, min path: 70
u: 135, v: 162, min path: 125
u: 135, v: 63, min path: 18
u: 135, v: 2, min path: 71
u: 135, v: 39, min path: 58
u: 135, v: 38, min path: 98
u: 135, v: 78, min path: -10
u: 135, v: 1, min path: 69
u: 135, v: 95, min path: 29
u: 135, v: 22, min path: 38
u: 135, v: 139, min path: 36
u: 135, v: 177, min path: 35
u: 135, v: 97, min path: 64
u: 135, v: 172, min path: 116
u: 135, v: 49, min path: 179
u: 135, v: 33, min path: 132
u: 135, v: 58, min path: 127
u: 135, v: 109, min path: inf
u: 135, v: 101, min path: 230
u: 135, v: 29, min path: 125
u: 135, v: 7, min path: inf
u: 135, v: 113, min path: 253
u: 135, v: 181, min path: 36
u: 135, v: 71, min path: 151
u: 135, v: 14, min path: inf
u: 135, v: 189, min path: 61
u: 135, v: 108, min path: inf
u: 135, v: 134, min path: 177
u: 135, v: 161, min path: 103
u: 135, v: 48, min path: 46
u: 135, v: 173, min path: 52
u: 135, v: 34, min path: 28
u: 135, v: 42, min path: 61
u: 135, v: 125, min path: 124
