u: 20, v: 100, w: -4
u: 143, v: 160, w: 69
u: 140, v: 31, w: 76
u: 149, v: 149, w: -4
u: 68, v: 180, w: -2
u: 123, v: 42, w: 48
u: 154, v: 114, w: -3
u: 164, v: 145, w: 69
u: 14, v: 85, w: 0
u: 188, v: 138, w: 24
u: 104, v: 184, w: 58
u: 64, v: 197, w: 69
u: 133, v: 153, w: 43
u: 138, v: 53, w: 61
u: 83, v: 128, w: 0
u: 76, v: 172, w: -2
u: 33, v: 25, w: 40
u: 57, v: 153, w: 54
u: 50, v: 13, w: -2
u: 85, v: 73, w: -1
u: 21, v: 39, w: 64
u: 87, v: 175, w: 82
u: 32, v: 145, w: 65
u: 167, v: 166, w: 0
u: 141, v: 71, w: 0
u: 160, v: 138, w: -1
u: 197, v: 172, w: -5
u: 12, v: 170, w: 91
u: 8, v: 181, w: 74
u: 26, v: 160, w: 19
u: 33, v: 167, w: -4
u: 44, v: 196, w: -3
u: 7, v: 116, w: -2
u: 200, v: 197, w: 92
u: 112, v: 4, w: -4
u: 189, v: 127, w: -1
u: 1, v: 150, w: -2
u: 19, v: 32, w: 48
u: 148, v: 79, w: 60
u: 21, v: 149, w: 13
u: 149, v: 115, w: -2
u: 117, v: 38, w: -4
u: 124, v: 193, w: -4
u: 69, v: 53, w: 42
u: 189, v: 131, w: 49
u: 90, v: 174, w: 28
u: 12, v: 175, w: -1
u: 8, v: 63, w: -4
u: 158, v: 155, w: 76
u: 190, v: 147, w: 35
u: 70, v: 42, w: 21
u: 198, v: 118, w: -5
u: 11, v: 16, w: -5
u: 35, v: 163, w: -2
u: 105, v: 32, w: 0
u: 166, v: 127, w: 0
u: 139, v: 134, w: -2
u: 138, v: 159, w: 20
u: 7, v: 170, w: 41
u: 116, v: 90, w: -4
u: 8, v: 161, w: 19
u: 189, v: 171, w: -4
u: 189, v: 2, w: -4
u: 20, v: 27, w: -1
u: 83, v: 110, w: 94
u: 150, v: 93, w: 54
u: 126, v: 140, w: 50
u: 58, v: 98, w: 65
u: 100, v: 113, w: -1
u: 133, v: 27, w: -5
u: 9, v: 147, w: 0
u: 43, v: 162, w: -1
u: 26, v: 59, w: -4
u: 164, v: 105, w: -1
u: 161, v: 174, w: 0
u: 36, v: 105, w: 39
u: 147, v: 105, w: -2
u: 122, v: 44, w: 37
u: 11, v: 194, w: -4
u: 101, v: 178, w: 10
u: 141, v: 8, w: -2
u: 88, v: 162, w: 21
u: 89, v: 33, w: 68
u: 104, v: 176, w: 26
u: 149, v: 84, w: 37
u: 150, v: 45, w: -3
u: 34, v: 55, w: -3
u: 159, v: 164, w: 21
u: 170, v: 131, w: 0
u: 87, v: 195, w: -1
u: 198, v: 16, w: 54
u: 29, v: 156, w: -5
u: 13, v: 10, w: 17
u: 10, v: 84, w: 36
u: 10, v: 121, w: -2
u: 185, v: 5, w: -3
u: 194, v: 61, w: 94
u: 36, v: 112, w: 53
u: 101, v: 51, w: -3
u: 82, v: 40, w: -1
u: 195, v: 119, w: -1
u: 44, v: 182, w: -5
u: 16, v: 146, w: 0
u: 8, v: 194, w: -3
u: 87, v: 96, w: -1
u: 51, v: 33, w: -3
u: 186, v: 37, w: 75
u: 57, v: 19, w: -1
u: 68, v: 137, w: 38
u: 110, v: 111, w: -4
u: 116, v: 30, w: 74
u: 164, v: 6, w: -4
u: 29, v: 197, w: -1
u: 13, v: 199, w: 51
u: 33, v: 78, w: -5
u: 110, v: 1, w: 50
u: 191, v: 197, w: -4
u: 37, v: 129, w: 0
u: 2, v: 84, w: 16
u: 109, v: 46, w: -3
u: 95, v: 62, w: -5
u: 155, v: 141, w: -1
u: 150, v: 198, w: 11
u: 103, v: 194, w: 38
u: 48, v: 138, w: -5
u: 37, v: 33, w: 0
